feature,importance
visual_hallucination_freq,0.20494860720005065
motor_symptom_severity,0.18462532589837174
cognitive_decline_rate,0.054164027532571504
memory_loss_score,0.03580684391557162
age,0.03256660694646241
attention_span_score,0.01603843405513146
cortical_thickness,0.015783889802234913
gait_speed,0.01546186391743406
short_term_memory_score,0.015096915525126266
reaction_time,0.014463666871896994
problem_solving_score,0.014457108883150273
ventricle_size_index,0.014354168525916665
white_matter_integrity,0.014273195570085339
fine_motor_control,0.014205162854194904
brainstem_integrity,0.013282466255830435
corpus_callosum_thickness,0.013151159000009252
hand_movement_accuracy,0.012689040626565031
brain_iron_concentration,0.01247016753297909
facial_expression_score,0.012379105932079493
decision_making_score,0.012095197701360569
parietal_lobe_volume,0.012094509730397102
synaptic_density_index,0.011925570376625467
glucose_metabolism_rate,0.011649989550738617
neuro_transmitter_level,0.011609837187089111
neuronal_activity_rate,0.011570720832188271
balance_stability_score,0.011495160186224101
neuroinflammation_index,0.011430885589088472
temporal_lobe_volume,0.01135694860610264
oxygenation_level,0.011169586696378749
protein_aggregation_level,0.010941483767836697
neural_connectivity_strength,0.01066225308172057
tremor_intensity,0.009767247926835811
language_processing_score,0.009747291623989358
processing_speed_score,0.009563807674410956
cerebellum_volume,0.00955615235503095
orientation_score,0.009062758217951734
oxidative_stress_score,0.009017020845121682
vascular_health_index,0.008574803115965613
speech_fluidity_score,0.008093778213140031
reasoning_ability_score,0.008082227657711348
executive_function_score,0.007704435954307535
immune_inflammation_score,0.007417906135302389
frontal_lobe_volume,0.007391283711083287
muscle_rigidity_score,0.007344563743408035
coordination_index,0.007247732521690135
amygdala_volume,0.007075474832689321
occipital_lobe_volume,0.006851119667081376
hippocampus_volume,0.006569881502818811
long_term_memory_score,0.006445642850838604
gray_matter_density,0.006266971299210612
